Feature,Coefficient,AbsoluteCoefficient
number_of_brands,0.3845344423618488,0.3845344423618488
invoice_cost_per_unit,-0.26482268591170716,0.26482268591170716
purchase_cost_per_unit,0.06647874246689751,0.06647874246689751
number_of_purchase_lines,-0.05422122580167124,0.05422122580167124
invoice_dollars,0.0034693326742897762,0.0034693326742897762
total_item_dollars,0.0017395276453803965,0.0017395276453803965
dollar_difference,0.0017298050289229292,0.0017298050289229292
quantity_difference,-0.0011007239872372666,0.0011007239872372666
absolute_quantity_difference,0.0009386252720920629,0.0009386252720920629
invoice_quantity,-0.0007527875867833999,0.0007527875867833999
total_item_quantity,0.0003479364004789054,0.0003479364004789054
absolute_dollar_difference,-0.00010838451209477815,0.00010838451209477815
