VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,invoice_quantity,invoice_dollars,Freight,Approval,total_item_quantity,total_item_dollars,average_purchase_price,number_of_purchase_lines,number_of_brands,invoice_year,invoice_month,invoice_quarter,invoice_day_of_week,po_to_invoice_days,invoice_to_pay_days,quantity_difference,absolute_quantity_difference,quantity_difference_percentage,dollar_difference,absolute_dollar_difference,dollar_difference_percentage,invoice_cost_per_unit,purchase_cost_per_unit,freight_percentage,freight_per_unit,invoice_plus_freight,vendor_invoice_count,vendor_average_invoice_value,vendor_average_freight,vendor_average_freight_percentage,invoice_vs_vendor_average,invoice_vs_vendor_average_percentage,freight_vs_vendor_average,freight_vs_vendor_average_percentage,anomaly_prediction,anomaly_status,anomaly_score,risk_category
3960,DIAGEO NORTH AMERICA INC   ,2024-11-03,12618,2024-10-16,2024-12-14,122740,1468470.64,7048.66,Frank Delahunt,6,214.26,35.71,1,1,2024,11,4,6,18,41,122734,122734,2045566.6666666667,1468256.38,1468256.38,685268.5428918137,11.96407560697409,35.71,0.4800000631949986,0.057427570474173045,1475519.2999999998,55,926541.760909091,4673.310363636364,0.5421120192325223,541928.8790909089,58.489417526004104,2375.349636363636,50.8279881183698,-1,Anomaly,100.0,High
3960,DIAGEO NORTH AMERICA INC   ,2024-11-15,12833,2024-10-30,2024-12-19,141660,1660435.88,8468.22,Frank Delahunt,84,751.2,8.942857142857143,7,6,2024,11,4,4,16,34,141576,141576,168542.85714285713,1659684.68,1659684.68,220937.79020234288,11.721275448256387,8.942857142857143,0.5099998200472516,0.05977848369335027,1668904.0999999999,55,926541.760909091,4673.310363636364,0.5421120192325223,733894.1190909089,79.20788355733012,3794.9096363636354,81.20388634772304,-1,Anomaly,96.43,High
3960,DIAGEO NORTH AMERICA INC   ,2025-01-10,13594,2024-12-20,2025-02-05,129816,1226463.19,6132.32,Frank Delahunt,221,3595.67,16.27,15,1,2025,1,1,4,21,26,129595,129595,58640.27149321268,1222867.52,1222867.52,34009.44803054786,9.447704366179824,16.27,0.5000003302178192,0.047238553028902446,1232595.51,55,926541.760909091,4673.310363636364,0.5421120192325223,299921.42909090896,32.369985007112504,1459.0096363636358,31.22004580984776,-1,Anomaly,96.02,High
3960,DIAGEO NORTH AMERICA INC   ,2024-12-31,13501,2024-12-14,2025-02-08,124996,1104187.97,4968.85,Frank Delahunt,24,283.2,11.8,2,2,2024,12,4,1,17,39,124972,124972,520716.6666666667,1103904.77,1103904.77,389796.8820621469,8.833786441166117,11.799999999999999,0.4500003744833409,0.03975207206630613,1109156.82,55,926541.760909091,4673.310363636364,0.5421120192325223,177646.209090909,19.173038559709237,295.5396363636364,6.323989064866497,-1,Anomaly,94.91,High
17035,PERNOD RICARD USA          ,2025-01-03,13597,2024-12-20,2025-02-16,48425,663584.35,3649.71,Frank Delahunt,129816,1226463.19,17.025502530730297,5532,236,2025,1,1,4,14,44,-81391,81391,62.6972021938744,-562878.84,562878.84,45.89447482724695,13.703342281879195,9.447704366179824,0.5499994085152852,0.07536830149716056,667234.0599999999,55,438619.8465454545,2250.5494545454544,0.5562122213278571,224964.50345454545,51.28917563269272,1399.1605454545456,62.1697311573691,-1,Anomaly,91.18,High
3960,DIAGEO NORTH AMERICA INC   ,2024-11-29,12981,2024-11-09,2024-12-30,119586,1321953.42,7006.35,Frank Delahunt,10923,273731.61,32.90844380403458,694,66,2024,11,4,4,20,31,108663,108663,994.8091183740731,1048221.8099999999,1048221.8099999999,382.93780173944833,11.054416236014248,25.060112606426806,0.529999763531759,0.05858837991069189,1328959.77,55,926541.760909091,4673.310363636364,0.5421120192325223,395411.65909090894,42.67607524812963,2333.0396363636364,49.92263416779081,-1,Anomaly,90.22,High
4425,MARTIGNETTI COMPANIES,2025-01-03,13584,2024-12-19,2025-02-17,92470,1010674.21,4952.3,Frank Delahunt,1437,13382.539999999999,10.513879781420766,183,17,2025,1,1,4,15,45,91033,91033,6334.933890048713,997291.6699999999,997291.6699999999,7452.185235388798,10.929752460257381,9.312832289491997,0.4899996409327592,0.05355574781010058,1015626.51,82,339776.7075609756,1767.4297560975608,0.5925927593107073,670897.5024390244,197.4524702575813,3184.870243902439,180.19783999419306,-1,Anomaly,89.99,High
3960,DIAGEO NORTH AMERICA INC   ,2024-11-12,12771,2024-10-26,2024-12-24,127553,1409683.51,7753.26,Frank Delahunt,907,9006.22,10.198923076923078,65,38,2024,11,4,1,17,42,126646,126646,13963.175303197355,1400677.29,1400677.29,15552.332610129446,11.051747195283529,9.9296802646086,0.5500000493018465,0.06078461502277485,1417436.77,55,926541.760909091,4673.310363636364,0.5421120192325223,483141.749090909,52.14462741721074,3079.9496363636363,65.90509503347188,-1,Anomaly,89.62,High
4425,MARTIGNETTI COMPANIES,2024-12-10,13144,2024-11-20,2025-01-11,80037,815171.41,4157.37,Frank Delahunt,38,391.63,11.44,3,2,2024,12,4,1,20,32,79999,79999,210523.68421052635,814779.78,814779.78,208048.35686745142,10.18493209390657,10.306052631578947,0.5099994858750014,0.05194310131564151,819328.78,82,339776.7075609756,1767.4297560975608,0.5925927593107073,475394.7024390244,139.91385867841194,2389.940243902439,135.22122933922788,-1,Anomaly,89.15,High
3960,DIAGEO NORTH AMERICA INC   ,2024-12-07,13190,2024-11-23,2025-01-16,116491,1319062.86,6331.5,Frank Delahunt,569,6034.94,10.639148936170214,47,8,2024,12,4,5,14,40,115922,115922,20372.934973637963,1313027.9200000002,1313027.9200000002,21757.099822036347,11.323302744418024,10.606221441124779,0.47999986899790353,0.05435183833944253,1325394.36,55,926541.760909091,4673.310363636364,0.5421120192325223,392521.0990909091,42.36410226191865,1658.189636363636,35.48212096646149,-1,Anomaly,88.98,High
